2026-04-22 10:42:42,546 | listener_started | / | ['0.0.0.0, 9001']
2026-04-22 11:05:06,802 | recv | /reward | [0.468543142080307]
2026-04-22 11:05:06,802 | send | /adm/obj/1/xyz | [-0.6830230951309204, -0.33126166462898254, 1.0]
2026-04-22 11:05:06,803 | send | /adm/obj/2/xyz | [-0.6830230951309204, -0.33126166462898254, 1.0]
2026-04-22 11:05:06,885 | recv | /reward | [0.050330258905887604]
2026-04-22 11:05:06,886 | send | /adm/obj/1/xyz | [1.0, 0.8511646389961243, -0.5674529671669006]
2026-04-22 11:05:06,886 | send | /adm/obj/2/xyz | [1.0, 0.8511646389961243, -0.5674529671669006]
2026-04-22 11:05:06,991 | recv | /reward | [-0.329552561044693]
2026-04-22 11:05:06,992 | send | /adm/obj/1/xyz | [0.18875914812088013, 1.0, 0.17573043704032898]
2026-04-22 11:05:06,992 | send | /adm/obj/2/xyz | [0.18875914812088013, 1.0, 0.17573043704032898]
2026-04-22 11:05:07,066 | recv | /reward | [-0.472618967294693]
2026-04-22 11:05:07,067 | send | /adm/obj/1/xyz | [-0.8908069729804993, 0.13932962715625763, 0.21904388070106506]
2026-04-22 11:05:07,067 | send | /adm/obj/2/xyz | [-0.8908069729804993, 0.13932962715625763, 0.21904388070106506]
2026-04-22 11:05:07,171 | recv | /reward | [-0.7436150312423706]
2026-04-22 11:05:07,172 | send | /adm/obj/1/xyz | [-1.0, 0.7669497132301331, -0.33790960907936096]
2026-04-22 11:05:07,172 | send | /adm/obj/2/xyz | [-1.0, 0.7669497132301331, -0.33790960907936096]
2026-04-22 11:05:07,272 | recv | /reward | [-0.7506951093673706]
2026-04-22 11:05:07,273 | send | /adm/obj/1/xyz | [-0.11478200554847717, 0.670548141002655, -0.5298693776130676]
2026-04-22 11:05:07,273 | send | /adm/obj/2/xyz | [-0.11478200554847717, 0.670548141002655, -0.5298693776130676]
2026-04-22 11:05:07,373 | recv | /reward | [-0.5827263593673706]
2026-04-22 11:05:07,374 | send | /adm/obj/1/xyz | [-0.39902377128601074, -0.42632195353507996, -1.0]
2026-04-22 11:05:07,374 | send | /adm/obj/2/xyz | [-0.39902377128601074, -0.42632195353507996, -1.0]
2026-04-22 11:05:07,448 | recv | /reward | [0.291297048330307]
2026-04-22 11:05:07,449 | send | /adm/obj/1/xyz | [1.0, 0.8028712868690491, 1.0]
2026-04-22 11:05:07,449 | send | /adm/obj/2/xyz | [1.0, 0.8028712868690491, 1.0]
2026-04-22 11:05:07,540 | recv | /reward | [0.1208868995308876]
2026-04-22 11:05:07,541 | send | /adm/obj/1/xyz | [-0.3128366768360138, -0.7561523914337158, -1.0]
2026-04-22 11:05:07,541 | send | /adm/obj/2/xyz | [-0.3128366768360138, -0.7561523914337158, -1.0]
2026-04-22 11:05:07,631 | recv | /reward | [0.428015798330307]
2026-04-22 11:05:07,632 | send | /adm/obj/1/xyz | [0.5901692509651184, -1.0, -0.9666461944580078]
2026-04-22 11:05:07,632 | send | /adm/obj/2/xyz | [0.5901692509651184, -1.0, -0.9666461944580078]
2026-04-22 11:05:07,722 | recv | /reward | [1.0]
2026-04-22 11:05:07,723 | send | /adm/obj/1/xyz | [1.0, 0.7556994557380676, -1.0]
2026-04-22 11:05:07,723 | send | /adm/obj/2/xyz | [1.0, 0.7556994557380676, -1.0]
2026-04-22 11:05:07,822 | recv | /reward | [0.9385138750076294]
2026-04-22 11:05:07,823 | send | /adm/obj/1/xyz | [0.3978622257709503, -0.7673042416572571, 0.8734250068664551]
2026-04-22 11:05:07,823 | send | /adm/obj/2/xyz | [0.3978622257709503, -0.7673042416572571, 0.8734250068664551]
2026-04-22 11:05:07,902 | recv | /reward | [0.9875861406326294]
2026-04-22 11:05:07,903 | send | /adm/obj/1/xyz | [0.29869964718818665, 0.32571277022361755, 0.5158023834228516]
2026-04-22 11:05:07,903 | send | /adm/obj/2/xyz | [0.29869964718818665, 0.32571277022361755, 0.5158023834228516]
2026-04-22 11:05:08,005 | recv | /reward | [0.8447638750076294]
2026-04-22 11:05:08,006 | send | /adm/obj/1/xyz | [-0.38712063431739807, -1.0, 0.24623726308345795]
2026-04-22 11:05:08,006 | send | /adm/obj/2/xyz | [-0.38712063431739807, -1.0, 0.24623726308345795]
2026-04-22 11:05:08,097 | recv | /reward | [0.242224782705307]
2026-04-22 11:05:08,097 | send | /adm/obj/1/xyz | [-1.0, 1.0, 1.0]
2026-04-22 11:05:08,097 | send | /adm/obj/2/xyz | [-1.0, 1.0, 1.0]
2026-04-22 11:05:08,188 | recv | /reward | [0.258582204580307]
2026-04-22 11:05:08,189 | send | /adm/obj/1/xyz | [0.2209593802690506, 0.8511582612991333, -0.34862011671066284]
